0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
HK.00001,HK.00067,HK.00371,HK.00384,HK.00400,HK.00496,HK.00607,HK.00639,HK.00868,HK.00931,HK.01044,HK.01099,HK.01259,HK.01360,HK.01361,HK.01363,HK.01378,HK.01432,HK.01717,HK.01773,HK.01910,HK.01980,HK.01999,HK.02001,HK.02014,HK.02018,HK.02020,HK.02233,HK.03799,HK.03998,HK.06160,HK.06186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.00020,HK.00241,HK.00312,HK.00376,HK.00980,HK.01060,HK.01297,HK.01528,HK.02048,HK.03818,HK.03908,HK.06808,HK.08279,HK.09991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.00178,HK.00241,HK.00493,HK.00590,HK.00598,HK.00636,HK.00700,HK.00973,HK.01368,HK.01458,HK.01585,HK.01691,HK.01810,HK.01913,HK.01929,HK.02020,HK.02057,HK.02130,HK.02280,HK.02298,HK.02331,HK.02618,HK.03306,HK.03331,HK.03998,HK.06123,HK.06288,HK.09618,HK.09956,HK.09988,HK.09991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.00371,HK.00956,HK.02009,HK.03323,HK.03382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.00285,HK.00698,HK.01415,HK.01478,HK.02018,HK.02038,HK.02283,HK.02382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.00323,HK.00347,HK.00390,HK.00598,HK.00631,HK.00753,HK.00914,HK.00925,HK.01088,HK.01157,HK.01186,HK.01766,HK.01800,HK.01816,HK.01919,HK.02068,HK.02880,HK.02883,HK.02899,HK.03311,HK.03339,HK.06198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.00552,HK.00728,HK.00762,HK.00763,HK.00788,HK.00941,HK.00947,HK.01300,HK.01810,HK.01888,HK.02000,HK.02342,HK.06133,HK.06869,HK.08227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.00152,HK.00560,HK.00737,HK.00914,HK.01052,HK.01233,HK.01313,HK.01638,HK.01813,HK.02007,HK.02039,HK.02202,HK.02318,HK.02388,HK.03311,HK.03333,HK.03380,HK.03883,HK.03968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.01037,HK.02038,HK.06088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.00425,HK.00558,HK.00708,HK.00729,HK.00838,HK.01211,HK.01316,HK.01585,HK.01772,HK.03606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.00168,HK.00236,HK.00291,HK.00411,HK.01876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.00080,HK.00139,HK.00189,HK.00205,HK.00231,HK.00243,HK.00279,HK.00299,HK.00397,HK.00472,HK.00572,HK.00582,HK.00607,HK.00612,HK.00630,HK.00648,HK.00736,HK.00745,HK.00750,HK.00758,HK.00802,HK.00904,HK.00913,HK.00986,HK.00993,HK.01027,HK.01046,HK.01063,HK.01082,HK.01141,HK.01150,HK.01225,HK.01226,HK.01269,HK.01282,HK.01327,HK.01389,HK.01499,HK.01736,HK.01751,HK.01822,HK.02098,HK.02138,HK.02312,HK.02323,HK.02324,HK.02358,HK.02668,HK.02799,HK.03313,HK.03886,HK.06108,HK.06161,HK.06893,HK.08018,HK.08019,HK.08021,HK.08027,HK.08037,HK.08057,HK.08081,HK.08086,HK.08100,HK.08101,HK.08120,HK.08176,HK.08186,HK.08193,HK.08200,HK.08215,HK.08217,HK.08226,HK.08269,HK.08316,HK.08321,HK.08411
HK.01361,HK.01368,HK.02020,HK.02331,HK.03818,HK.03998,HK.06110,HK.06858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.00358,HK.00601,HK.00769,HK.02208,HK.02346,HK.02600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.00670,HK.00694,HK.00753,HK.01055,HK.01812,HK.02002,HK.02314,HK.02689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.00241,HK.00285,HK.00460,HK.00570,HK.00719,HK.00874,HK.01093,HK.01099,HK.01177,HK.01558,HK.01666,HK.01672,HK.01833,HK.01877,HK.02137,HK.02196,HK.02197,HK.06185,HK.06618,HK.09939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.00136,HK.00772,HK.00780,HK.01119,HK.01668,HK.01797,HK.01896,HK.02013,HK.02858,HK.03309,HK.03908,HK.06030,HK.06060,HK.08083,HK.09959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.00268,HK.00700,HK.01588,HK.03888,HK.09988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.00268,HK.00354,HK.00909,HK.01490,HK.01588,HK.01739,HK.01753,HK.01860,HK.01948,HK.02013,HK.02101,HK.02131,HK.02158,HK.03738,HK.03888,HK.06608,HK.06988,HK.08083,HK.09600,HK.09923,HK.09959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.00777,HK.01769,HK.01797,HK.03978,HK.09901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK.00881,HK.01268,HK.01293,HK.01365,HK.01728,HK.03669,HK.03836,HK.06909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
